Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
3 Bedroom Townhouse,Pritoria,Menlo Park,3,2,1,,R 34 000
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,2,,R 9 990
4 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,4,3,,,R 28 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,2,,,R 34 000
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,,,R 10 800
2 Bedroom Apartment,Pritoria,Equestria,2,2,,,R 10 300
2 Bedroom Apartment,Pritoria,Waverley,2,1,2,110 m²,R 6 500
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,1,67 m²,R 10 990
4.5 Bedroom Apartment,Pritoria,Muckleneuk,4.5,1,2,147 m²,R 10 200
3 Bedroom House,Pritoria,Waterkloof,3,2,2,,R 34 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,2,1,,R 6 000
1 Bedroom House,Pritoria,Patryshoek AH,1,1,1,,R 5 575
3 Bedroom House,Pritoria,Patryshoek AH,3,2,2,,R 13 380
4 Bedroom House,Pritoria,Patryshoek AH,4,2,8,,R 17 840
2 Bedroom House,Pritoria,Philip Nel Park,2,1,1,,R 5 800
2 Bedroom Apartment,Pritoria,Hatfield,2,2,2,,R 10 750
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,1,,R 20 000
4 Bedroom Townhouse,Pritoria,Eastwood,4,4,1,,R 18 500
1 Bedroom Apartment,Pritoria,Lombardy Estate,1,1,2,,R 13 900
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,,R 8 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,1,,R 7 750
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 4 830
4 Bedroom House,Pritoria,Patryshoek AH,4,2,8,,R 17 840
1 Bedroom Apartment,Pritoria,Kameelfontein,1,1,1,,R 4 800
1 Bedroom Apartment,Pritoria,Menlyn,1,1,5,,R 23 000
3 Bedroom House,Pritoria,Menlo Park,3,3.5,3,,R 36 500
3 Bedroom House,Pritoria,Oukraal Estate,3,2.5,,,R 18 000
3 Bedroom House,Pritoria,Silver Lakes,3,2,2,1 m²,R 32 000
1 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,1,1,1,43 m²,R 10 500
3 Bedroom House,Pritoria,Silver Lakes Golf Estate,3,2.5,4,60 m²,R 38 700
1.5 Bedroom Apartment,Pritoria,Arcadia,1.5,1,1,58 m²,R 6 200
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,110 m²,R 9 100
3 Bedroom Townhouse,Pritoria,Christiaanville AH,3,1,2,65 m²,R 13 200
2 Bedroom Townhouse,Pritoria,Annlin-Wes,2,2,2,34 m²,R 7 400
3 Bedroom Townhouse,Pritoria,Christiaanville AH,3,2,1,64 m²,R 16 000
1 Bedroom Apartment,Pritoria,Willow Park Manor,1,1,1,,R 8 100
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,,R 13 300
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,1,,R 2 700
2 Bedroom Townhouse,Pritoria,The Wilds,2,1,1,,R 13 000
2 Bedroom Apartment,Pritoria,East Lynne,2,1,1,,R 6 900
Apartment,Pritoria,Pretoria Central,1,1,2,,R 4 100
1 Bedroom Apartment,Pritoria,Menlo Park,3,2,1,,R 7 750
3 Bedroom Townhouse,Pritoria,Montana,1,1,1,,R 13 250
1 Bedroom Apartment,Pritoria,Sinoville,1,1,1,,R 5 800
1 Bedroom House,Pritoria,Silver Lakes Golf Estate,1,1,1,,R 10 500
1 Bedroom House,Pritoria,Silver Lakes Golf Estate,1,1,1,,R 10 500
1 Bedroom Apartment,Pritoria,Groenkloof,2,2,,,R 5 000
2 Bedroom Apartment,Pritoria,Brooklyn,,,,,R 14 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,1,55 m²,R 7 750
1 Bedroom Apartment,Pritoria,Silver Lakes,1,1,1,88 m²,R 8 500
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,160 m²,R 14 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,4.5,6,,R 65 000
2 Bedroom Apartment,Pritoria,Rietvalleirand,2,2,2,,R 14 000
3 Bedroom House,Pritoria,Montana,3,1,1,,R 10 000
1 Bedroom Apartment,Pritoria,Mahube Valley,1,1,1,,R 6 500
0.5 Bedroom Apartment,Pritoria,Pretoria Central,0.5,1,5,,R 4 200
0.5 Bedroom Apartment,Pritoria,Pretoria Central,0.5,1,1,,R 4 550
0.5 Bedroom Apartment,Pritoria,Arcadia,0.5,1,1,,R 4 850
5 Bedroom House,Pritoria,Woodhill Golf Estate,5,5,1,,R 65 000
1 Bedroom Apartment,Pritoria,Weavind Park,1,1,2,,R 5 900
2 Bedroom Apartment,Pritoria,Willow Park Manor,2,1,4,,R 9 600
2 Bedroom House,Pritoria,Lotus Gardens,2,1,2,,R 6 000
3 Bedroom House,Pritoria,Brooklyn,3,3,2,,R 23 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,4,,R 10 400
4 Bedroom House,Pritoria,Dorandia,4,2,3,,R 13 500
2 Bedroom Apartment,Pritoria,Arcadia,2,1,,,R 9 500
3 Bedroom House,Pritoria,Olympus AH,3,2,,,R 21 000
3 Bedroom House,Pritoria,Muckleneuk,3,3,,,R 17 000
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,,,R 9 990
4 Bedroom House,Pritoria,Moregloed,4,2,2,101 m²,R 15 500
1 Bedroom Apartment,Pritoria,Mountain View,1,1,1,60 m²,R 4 250
2 Bedroom Apartment,Pritoria,Waterkloof,2,2,2,39 m²,R 13 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,71 m²,R 8 800
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,105 m²,R 8 350
0.5 Bedroom Apartment,Pritoria,Hatfield,0.5,1,1,16 m²,R 7 700
3 Bedroom House,Pritoria,Andeon,3,2,1,,R 8 500
3 Bedroom House,Pritoria,Gem Valley,3,2,2,,R 6 000
2 Bedroom Apartment,Pritoria,Waverley,2,1,4,,R 11 000
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,1,,R 9 500
4 Bedroom House,Pritoria,Waterkloof,4,2,1,,R 38 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,,R 8 800
House,Pritoria,Claremont,2,1,1,,R 3 000
2 Bedroom Apartment,Pritoria,Hatfield,1,2,1,,R 13 000
1 Bedroom House,Pritoria,Boardwalk Meander,3,1,2,,R 9 950
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,0.5,2,3,,R 23 500
0.5 Bedroom Apartment,Pritoria,Arcadia,2,1,,,R 4 221
2 Bedroom Apartment,Pritoria,Lotus Gardens,4,2,,,R 7 350
Apartment,Pritoria,Mamelodi East,,1,,,R 2 750
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,,3,,,R 45 000
Apartment,Pritoria,Mamelodi East,,1,,,R 2 750
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,40 m²,R 6 500
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,1,91 m²,R 10 130
2 Bedroom Apartment,Pritoria,Kwaggasrand,2,1,1,57 m²,R 5 300
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,2,55 m²,R 4 700
1 Bedroom House,Pritoria,Savannah Country Estate,1,1,1,32 m²,R 7 500
3 Bedroom Townhouse,Pritoria,Equestria,3,2,2,64 m²,R 22 300
3 Bedroom Apartment,Pritoria,Hatfield,3,2,2,125 m²,R 3 500
1 Bedroom Apartment,Pritoria,Menlyn,3,1,1,,R 20 000
2 Bedroom House,Pritoria,Faerie Glen,1,2,1,,R 14 500
2 Bedroom House,Pritoria,Featherwood Retirement Estate,2,1,2,,R 16 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 9 500
3 Bedroom Townhouse,Pritoria,Erasmuskloof,2,2,1,,R 15 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,3,4,3,,R 60 000
1 Bedroom Apartment,Pritoria,Mooikloof Glen,4,1,1,,R 6 500
10 Bedroom House,Pritoria,Hatfield,1,5,1,,R 3 150
1 Bedroom House,Pritoria,Mooikloof Equestrian Estate,10,1,1,,R 6 500
2 Bedroom Apartment,Pritoria,Brooklyn,1,2,2,,R 14 000
2 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,2,2,,,R 24 000
20 Bedroom House,Pritoria,Arcadia,2,8,,,R 3 250
10 Bedroom House,Pritoria,Hatfield,20,5,,,R 3 150
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,57 m²,R 10 600
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,202 m²,R 10 000
2 Bedroom Apartment,Pritoria,Lotus Gardens,2,2,2,350 m²,R 7 550
3 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,3,2,2,94 m²,R 17 000
1 Bedroom House,Pritoria,Garsfontein,1,1,1,,R 6 200
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.3,2,,R 22 000
3 Bedroom House,Pritoria,Waterkloof Ridge,3,2,4,,R 35 000
1 Bedroom House,Pritoria,Garsfontein,1,1,1,,R 6 200
3 Bedroom Apartment,Pritoria,Waterkloof,3,2,2,,R 23 000
1 Bedroom Townhouse,Pritoria,Baileys Muckleneuk,1,1,1,,R 8 500
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,1,,R 14 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 10 500
Apartment,Pritoria,Pretoria Central,2,3,2,,R 6 800
2 Bedroom Apartment,Pritoria,Montana,3,1,2,,R 8 900
3 Bedroom House,Pritoria,Silverwoods Country Estate,3,3,2,,R 50 000
House,Pritoria,Lotus Gardens,1.5,1,1,,R 3 800
3 Bedroom Townhouse,Pritoria,Menlo Park,1,1,2,,R 15 500
1.5 Bedroom House,Pritoria,Rietfontein,3,2,6,,R 5 000
1 Bedroom Apartment,Pritoria,Hillcrest,1,1,1,,R 6 400
3 Bedroom House,Pritoria,Dorandia,,,,,R 15 700
1 Bedroom Townhouse,Pritoria,Rietvalleirand,,,,,R 11 500
Apartment,Pritoria,Lotus Gardens,4,4,8,48 m²,R 1 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,2,1,1,140 m²,R 95 000
2 Bedroom Townhouse,Pritoria,Olympus AH,1,1,1,163 m²,R 7 900
1 Bedroom House,Pritoria,Groenkloof,1,1,1,84 m²,R 9 990
1 Bedroom Apartment,Pritoria,Mooikloof Glen,4,2,1,35 m²,R 7 500
4 Bedroom House,Pritoria,Waterkloof Ridge,3,1,2,163 m²,R 30 000
3 Bedroom Apartment,Pritoria,Doornpoort,3,2,2,,R 9 850
3 Bedroom Townhouse,Pritoria,Hazeldean,2,2,2,,R 14 000
2 Bedroom House,Pritoria,Faerie Glen,3,2,1,,R 10 000
3 Bedroom Townhouse,Pritoria,The Wilds,2,2,1,,R 18 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,1,,R 10 200
2 Bedroom Apartment,Pritoria,Brooklyn,1,1,1,,R 15 800
1 Bedroom Apartment,Pritoria,Pretoria Central,1,1,2,,R 5 600
Apartment,Pritoria,Pretoria North,2,0.5,2,,R 4 700
1 Bedroom House,Pritoria,Patryshoek AH,3,2,2,,R 5 575
2 Bedroom Apartment,Pritoria,Lynnwood Glen,2,2,1,,R 12 750
3 Bedroom Townhouse,Pritoria,The Wilds,0.5,1,1,,R 18 000
2 Bedroom Apartment,Pritoria,Queenswood,3,1,1,,R 8 000
0.5 Bedroom House,Pritoria,Queenswood,2,2,,,R 6 955
3 Bedroom House,Pritoria,Lotus Gardens,,1,,,R 7 000
2 Bedroom Apartment,Pritoria,Montana Tuine,,,,,R 7 000
1 Bedroom Apartment,Pritoria,Riviera,1,1,1,120 m²,R 5 250
1 Bedroom Apartment,Pritoria,Riviera,1,1,1,105 m²,R 5 250
2 Bedroom Apartment,Pritoria,Waterkloof Park,2,2,2,90 m²,R 18 500
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,1,60 m²,R 8 800
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,58 m²,R 6 000
Apartment,Pritoria,Brooklyn,1.5,1,9,42 m²,R 4 500
1.5 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,86 m²,R 4 900
1 Bedroom Apartment,Pritoria,Sunnyside,2,1,4,163 m²,R 4 500
2 Bedroom House,Pritoria,Groenkloof,5,1,1,,R 27 990
5 Bedroom House,Pritoria,Waterkloof Ridge,2,3,3,,R 75 000
2 Bedroom Apartment,Pritoria,Hatfield,6,1,3,,R 11 800
6 Bedroom House,Pritoria,Waterkloof,1,6.5,1,,R 90 000
1 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,2,,R 3 500
Apartment,Pritoria,Pretoria Central,3,1,1,,R 3 472
2 Bedroom Townhouse,Pritoria,Annlin,3,1,2,,R 6 700
3 Bedroom House,Pritoria,Danville,2,2,,,R 7 800
3 Bedroom House,Pritoria,Lynnwood Glen,2,2,,,R 4 250
2 Bedroom House,Pritoria,Groenkloof,1,1,,,R 23 990
2 Bedroom Apartment,Pritoria,Brooklyn,3,2,,,R 16 000
1 Bedroom Apartment,Pritoria,Villieria,,1,,,R 4 500
3 Bedroom Townhouse,Pritoria,The Wilds,,2,,,R 18 000
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,63 m²,R 11 500
2 Bedroom Apartment,Pritoria,West Park,2,1,2,70 m²,R 5 400
Apartment,Pritoria,Hatfield,2,2,2,68 m²,R 3 950
2 Bedroom Apartment,Pritoria,Lotus Gardens,1,1,4,79 m²,R 7 150
1 Bedroom Apartment,Pritoria,Mooikloof,4,2,1,68 m²,R 7 500
Apartment,Pritoria,Hatfield,2,2,1,110 m²,R 3 950
4 Bedroom House,Pritoria,Villieria,2,1,2,140 m²,R 15 000
2 Bedroom Townhouse,Pritoria,Silver Lakes Golf Estate,1,1,2,122 m²,R 28 000
2 Bedroom Townhouse,Pritoria,The Wilds,3,3,8,,R 12 000
1 Bedroom Townhouse,Pritoria,Moreleta Park,3,3,4,,R 4 500
3 Bedroom Townhouse,Pritoria,Menlo Park,6,6.5,4,,R 30 000
3 Bedroom Apartment,Pritoria,Zambezi Manor Lifestyle Estate,4,3,4,,R 15 750
6 Bedroom Townhouse,Pritoria,Waterkloof Ridge,3,3,1,,R 90 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,6,8,1,,R 45 000
3 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,4,3,1,,R 24 000
6 Bedroom House,Pritoria,Waterkloof Ridge,2,2,2,,R 94 000
4 Bedroom House,Pritoria,Lynnwood,1,1,,,R 30 000
2 Bedroom House,Pritoria,Waterkloof,2,1,,,R 15 950
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,,,R 13 900
2 Bedroom Apartment,Pritoria,Wolmer,,,,,R 7 400
2 Bedroom Apartment,Pritoria,Brooklyn,,,,,R 16 500
1 Bedroom Apartment,Pritoria,Eastwood,1,1,2,100 m²,R 13 500
2 Bedroom Apartment,Pritoria,Sinoville,2,1,2,100 m²,R 9 500
3 Bedroom House,Pritoria,Waterkloof Glen,3,2.5,2,80 m²,R 35 000
2 Bedroom Apartment,Pritoria,Sinoville,2,1,2,65 m²,R 9 500
2 Bedroom Apartment,Pritoria,Sinoville,2,1,4,75 m²,R 8 500
4 Bedroom House,Pritoria,Waterkloof,4,4,2,60 m²,R 45 000
2 Bedroom House,Pritoria,Brooklyn,2,2,1,64 m²,R 30 000
1 Bedroom House,Pritoria,Clydesdale,1,1,1,174 m²,R 4 500
1 Bedroom House,Pritoria,Groenkloof,1,1,1,,R 12 990
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,,R 12 700
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,,R 18 000
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3.5,1,,R 41 000
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 10 500
2 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 11 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 27 000
1 Bedroom House,Pritoria,Eastwood,1,1,1,,R 10 500
3 Bedroom Apartment,Pritoria,Equestria,3,3.5,4,,R 9 300
3 Bedroom House,Pritoria,Arcadia,3,1,4,,R 25 000
1.5 Bedroom Apartment,Pritoria,Arcadia,1.5,7.5,3,,R 6 000
5 Bedroom House,Pritoria,Woodhill Golf Estate,5,2,,,R 85 000
3 Bedroom Townhouse,Pritoria,Moreleta Park,3,,,,R 20 000
3 Bedroom House,Pritoria,Waterkloof,3,3,3,213 m²,R 23 000
1 Bedroom Apartment,Pritoria,Kwaggasrand,1,1,1,29 m²,R 4 525
2 Bedroom Apartment,Pritoria,Lynnwood,2,1,1,43 m²,R 8 750
2 Bedroom Apartment,Pritoria,Hatfield,2,2,1,109 m²,R 10 000
2 Bedroom House,Pritoria,Silver Lakes Golf Estate,2,1,2,43 m²,R 28 000
1 Bedroom House,Pritoria,Meyerspark,1,1,3,,R 2 500
1 Bedroom Townhouse,Pritoria,Menlo Park,1,1,1,,R 10 400
3 Bedroom Apartment,Pritoria,Mooikloof Glen,3,2,1,,R 11 500
4 Bedroom House,Pritoria,Lynnwood Glen,4,2.5,3,,R 25 000
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,1,,R 12 750
2 Bedroom House,Pritoria,The Wilds,2,1,6,,R 13 000
1 Bedroom Apartment,Pritoria,Riviera,1,1,1,,R 5 900
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,2,,R 12 900
3 Bedroom House,Pritoria,Faerie Glen,3,3,1,,R 28 000
1 Bedroom Apartment,Pritoria,Hatfield,1,1,2,,R 7 200
3 Bedroom Apartment,Pritoria,Mooikloof Glen,3,2,1,,R 11 500
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,1,,R 11 300
4 Bedroom House,Pritoria,Lynnwood Glen,4,2,,,R 30 000
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,,,R 10 990
2.5 Bedroom Apartment,Pritoria,Sunnyside,2.5,1,,,R 5 670
1 Bedroom Townhouse,Pritoria,Brummeria,1,1,,,R 7 500
3 Bedroom Apartment,Pritoria,Menlo Park,3,3,2,181 m²,R 25 500
3 Bedroom House,Pritoria,Faerie Glen,3,2.5,2,36 m²,R 25 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,84 m²,R 10 500
Apartment,Pritoria,Lotus Gardens,2,1,2,125 m²,R 6 750
2 Bedroom Apartment,Pritoria,Lotus Gardens,4,3,4,88 m²,R 7 150
4 Bedroom House,Pritoria,Woodhill Golf Estate,2,1,1,105 m²,R 75 000
2 Bedroom House,Pritoria,Danville,1,1,1,1 m²,R 6 500
1 Bedroom Apartment,Pritoria,Queenswood,1,1,1,,R 6 000
1 Bedroom Apartment,Pritoria,Doornpoort AH,9,2,2,,R 6 700
9 Bedroom House,Pritoria,Sunnyside,3,1,2,,R 3 300
3 Bedroom Apartment,Pritoria,West Park,2,2,1,,R 5 800
2 Bedroom Apartment,Pritoria,Silver Lakes Golf Estate,2,2,2,,R 22 000
2 Bedroom Apartment,Pritoria,Sinoville,3,3,1,,R 10 400
3 Bedroom House,Pritoria,Bronberg,9,2,1,,R 22 000
9 Bedroom House,Pritoria,Sunnyside,3,2.5,1,,R 3 300
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2,1,,R 22 000
3 Bedroom Apartment,Pritoria,Hazeldean,2,1,,,R 9 500
2 Bedroom House,Pritoria,Mamelodi East,1,1,,,R 6 000
1 Bedroom Apartment,Pritoria,Shere,1.5,1,,,R 7 000
1.5 Bedroom Apartment,Pritoria,Arcadia,3,2,,,R 6 500
3 Bedroom House,Pritoria,Lotus Gardens,,,,,R 8 000
1 Bedroom Apartment,Pritoria,Ashlea Gardens,1,1,3,43 m²,R 18 750
1 Bedroom Apartment,Pritoria,Sunnyside,1,1,2,45 m²,R 5 000
1 Bedroom Apartment,Pritoria,Gezina,1,1,1,140 m²,R 4 200
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,64 m²,R 16 900
4 Bedroom House,Pritoria,Queenswood,4,2,4,185 m²,R 4 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,,R 15 500
1 Bedroom Apartment,Pritoria,Hatfield,1,1,1,,R 4 127
5 Bedroom House,Pritoria,Woodhill Golf Estate,5,5,3,,R 65 000
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,1,,R 6 750
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,1,,R 5 800
1 Bedroom Apartment,Pritoria,Waterkloof,1,1,2,,R 8 990
3 Bedroom Townhouse,Pritoria,Six Fountains,3,2,2,,R 20 000
3 Bedroom Townhouse,Pritoria,Six Fountains,3,2,3,,R 22 000
4 Bedroom House,Pritoria,Waterkloof,4,2,2,,R 42 000
2 Bedroom Apartment,Pritoria,Pretoria Central,2,1,4,,R 7 000
3 Bedroom Townhouse,Pritoria,Six Fountains,3,2,1,,R 22 000
4 Bedroom House,Pritoria,Queenswood,4,2,6,,R 4 000
1 Bedroom Apartment,Pritoria,Willow Park Manor,1,1,4,,R 9 500
1 Bedroom House,Pritoria,Danville,1,1,,,R 4 500
3 Bedroom House,Pritoria,Waterkloof Ridge,3,2.5,,,R 30 000
1 Bedroom Apartment,Pritoria,Brooklyn,1,,,,R 6 150
1 Bedroom Apartment,Pritoria,Menlo Park,1,1,1,41 m²,R 9 500
2 Bedroom Apartment,Pritoria,Mooikloof,2,2,4,56 m²,R 12 000
0.5 Bedroom Apartment,Pritoria,Pretoria West,0.5,1,2,202 m²,R 3 500
3 Bedroom House,Pritoria,Waterkloof Glen,3,2,1,28 m²,R 24 000
2 Bedroom Apartment,Pritoria,Mooikloof Ridge,2,1,4,,R 9 950
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,,R 6 000
Apartment,Pritoria,Sunnyside,3,3,2,,R 2 495
3 Bedroom House,Pritoria,Waterkloof,1,1,1,,R 30 000
1 Bedroom Apartment,Pritoria,Hillcrest,2,2,1,,R 7 000
2 Bedroom Townhouse,Pritoria,Montana,0.5,1,2,,R 8 600
0.5 Bedroom Apartment,Pritoria,Sunnyside,2,1,1,,R 4 530
2 Bedroom Townhouse,Pritoria,Mooikloof Ridge,1,1,4,,R 8 000
1 Bedroom House,Pritoria,Montana Tuine,1,1,1,,R 5 200
1 Bedroom Townhouse,Pritoria,Kameeldrift East,3,3,2,,R 13 200
House,Pritoria,Waterkloof,1,1,,,R 27 000
Apartment,Pritoria,Colbyn,1,2.5,,,R 7 800
3 Bedroom Townhouse,Pritoria,Olympus AH,1,1,,,R 21 000
Apartment,Pritoria,Mayville,,1,,,R 6 500
1 Bedroom Apartment,Pritoria,Sunnyside,,,,,R 2 850
1 Bedroom Apartment,Pritoria,Hillcrest,,,,,R 7 000
1 Bedroom Apartment,Pritoria,Menlyn,,,,,R 18 000
2 Bedroom Apartment,Pritoria,Garsfontein,2,2,2,134 m²,R 8 500
3 Bedroom House,Pritoria,Mamelodi,3,2,5,200 m²,R 9 000
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3.5,4,202 m²,R 40 000
Apartment,Pritoria,Olympus AH,4,5,6,81 m²,R 8 200
4 Bedroom House,Pritoria,Sable Hills,4,2,2,85 m²,R 60 000
4 Bedroom House,Pritoria,Kameeldrift East,3,2,3,90 m²,R 17 900
3 Bedroom Apartment,Pritoria,Arcadia,3,3.5,4,82 m²,R 15 000
3 Bedroom House,Pritoria,Baileys Muckleneuk,3,2.5,2,202 m²,R 26 750
3 Bedroom Townhouse,Pritoria,Olympus AH,6,3,2,51 m²,R 22 000
6 Bedroom House,Pritoria,Hatfield,3,3,2,,R 3 500
3 Bedroom Townhouse,Pritoria,Waterkloof,2,1,2,,R 27 000
2 Bedroom Apartment,Pritoria,Hatfield,2,2,2,,R 8 900
2 Bedroom Apartment,Pritoria,Waterkloof,4,4,3,,R 20 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,2,2,3,,R 50 000
2 Bedroom Apartment,Pritoria,Menlo Park,3,2,2,,R 15 900
3 Bedroom Apartment,Pritoria,Annlin,4,4.5,6,,R 9 300
4 Bedroom House,Pritoria,Groenkloof,3,3,4,,R 75 000
3 Bedroom Townhouse,Pritoria,Waterkloof,4,3.5,1,,R 27 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,3,2.5,,,R 35 000
3 Bedroom Townhouse,Pritoria,Olympus AH,1,1,,,R 21 000
1 Bedroom Apartment,Pritoria,Hatfield,,,,,R 8 500
2 Bedroom Apartment,Pritoria,Hillcrest,2,1,1,49 m²,R 8 000
2.5 Bedroom Apartment,Pritoria,Arcadia,2.5,1,1,1 m²,R 7 580
1 Bedroom Apartment,Pritoria,Zwartkoppies,1,1,1,45 m²,R 7 000
4 Bedroom House,Pritoria,Silver Lakes Golf Estate,4,3,2,500 m²,R 38 000
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,92 m²,R 15 500
2 Bedroom Apartment,Pritoria,Monument Park,2,2,2,35 m²,R 17 500
1 Bedroom House,Pritoria,Nieuw Muckleneuk,1,1,2,65 m²,R 17 000
4 Bedroom House,Pritoria,Woodhill Golf Estate,4,3,2,,R 35 000
1 Bedroom Apartment,Pritoria,Lynnwood,1,1,1,,R 5 500
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3,2,,R 26 000
4 Bedroom House,Pritoria,Danville,4,2,3,,R 9 000
1 Bedroom Apartment,Pritoria,Montana Tuine,1,1,1,,R 7 500
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,,R 16 500
1 Bedroom Apartment,Pritoria,La Montagne,1,1,2,,R 7 000
1 Bedroom Apartment,Pritoria,Moreleta Park,1,1,2,,R 11 500
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,,R 23 000
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,2,,R 5 790
2 Bedroom Apartment,Pritoria,Greencreek Lifestyle Estate,2,2,1,,R 8 750
2 Bedroom Apartment,Pritoria,Pretoria North,2,1,1,,R 5 790
1 Bedroom House,Pritoria,Brooklyn,1,1,2,,R 8 600
2 Bedroom House,Pritoria,Grootfontein AH,2,1,,,R 8 300
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,79 m²,R 12 000
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,1,82 m²,R 14 000
2 Bedroom Apartment,Pritoria,Hazeldean,2,2,2,89 m²,R 9 750
4 Bedroom House,Pritoria,Waterkloof Ridge,4,4.5,4,48 m²,R 50 000
0.5 Bedroom Apartment,Pritoria,Capital Park,0.5,1,1,171 m²,R 3 920
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,1,56 m²,R 13 500
2 Bedroom House,Pritoria,Sable Hills,2,2,2,75 m²,R 22 000
5 Bedroom House,Pritoria,Waterkloof Ridge,5,3,4,148 m²,R 55 000
4 Bedroom House,Pritoria,Silverwoods Country Estate,4,3,2,64 m²,R 42 000
2 Bedroom Apartment,Pritoria,Waverley,2,1,2,48 m²,R 9 500
2 Bedroom Apartment,Pritoria,Nieuw Muckleneuk,2,2,2,,R 15 500
2 Bedroom Apartment,Pritoria,Menlyn,2,2,1,,R 45 000
4 Bedroom Townhouse,Pritoria,Eastwood,4,3,1,,R 22 500
1 Bedroom Apartment,Pritoria,Brooklyn,1,1,3,,R 11 800
3 Bedroom House,Pritoria,Willow Acres,3,2.5,1,,R 29 999
2 Bedroom Townhouse,Pritoria,Kilner Park,2,1,3,,R 8 500
