Property_type,Property_city,Property_location,Bedrooms,Bathrooms,Parking_space,Floor_size,Property_price_(per_month)
3 Bedroom Townhouse,Pritoria,Elarduspark,3,1.5,2,102 m²,R 10 950
2 Bedroom Apartment,Pritoria,Hillcrest,2,1,1,55 m²,R 8 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,79 m²,R 12 000
58 Bedroom Apartment,Pritoria,Waterkloof,58,58,58,44 m²,R 17 990
3 Bedroom House,Pritoria,Boardwalk,3,2,4,51 m²,R 27 000
2 Bedroom Apartment,Pritoria,Roodepark Eco Estate,2,2,1,100 m²,R 10 500
1 Bedroom Apartment,Pritoria,Waterkloof Park,1,1,1,100 m²,R 12 000
1 Bedroom Apartment,Pritoria,Menlyn,1,1,1,46 m²,R 14 000
Apartment,Pritoria,Greencreek Lifestyle Estate,2,1,1,64 m²,R 6 000
2 Bedroom Apartment,Pritoria,Arcadia,3,2.5,1,,R 21 000
3 Bedroom House,Pritoria,Six Fountains Residential Estate,2,2.5,1,,R 36 000
2 Bedroom Apartment,Pritoria,Philip Nel Park,2,1,1,,R 5 950
2 Bedroom Apartment,Pritoria,Faerie Glen,3,2,1,,R 9 950
3 Bedroom Townhouse,Pritoria,Equestria,1,2,3,,R 17 000
1 Bedroom Apartment,Pritoria,Hatfield,2,1,1,,R 11 500
2 Bedroom Apartment,Pritoria,Brooklyn,,2,1,,R 12 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,2,77 m²,R 13 550
2 Bedroom Apartment,Pritoria,Erasmus Park,2,1,2,45 m²,R 12 000
2 Bedroom Apartment,Pritoria,Olympus AH,2,2,2,75 m²,R 10 750
1 Bedroom Apartment,Pritoria,Weavind Park,1,1,1,81 m²,R 5 500
0.5 Bedroom Apartment,Pritoria,Montana,0.5,1,1,1 m²,R 5 000
2 Bedroom Apartment,Pritoria,Equestria,2,1,5,51 m²,R 8 500
4 Bedroom House,Pritoria,Waterkloof Ridge,4,3,1,146 m²,R 36 999
2 Bedroom Apartment,Pritoria,La Montagne,2,1,1,52 m²,R 7 900
1.5 Bedroom Apartment,Pritoria,Arcadia,1.5,1,1,43 m²,R 6 200
2 Bedroom Apartment,Pritoria,Groenkloof,2,1,2,130 m²,R 7 500
2 Bedroom Townhouse,Pritoria,Erasmuskloof,2,2,1,58 m²,R 16 000
2 Bedroom Apartment,Pritoria,Hillcrest,2,1,1,75 m²,R 11 800
1 Bedroom Apartment,Pritoria,Annlin-Wes,1,1,2,69 m²,R 6 150
3 Bedroom House,Pritoria,Waterkloof,3,2,2,,R 20 000
2 Bedroom Apartment,Pritoria,Annlin,2,1.5,1,,R 9 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,6,,R 8 900
4 Bedroom House,Pritoria,Waterkloof,4,3,2,,R 40 000
1 Bedroom Apartment,Pritoria,Weavind Park,1,1,2,,R 5 500
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,4,,R 15 500
3 Bedroom Townhouse,Pritoria,Waterkloof Ridge,3,2.5,,,R 43 000
4 Bedroom House,Pritoria,The Wilds,4,4,,,R 60 000
3 Bedroom House,Pritoria,Boardwalk Meander,3,4,2,74 m²,R 28 000
2 Bedroom Apartment,Pritoria,Annlin,2,2,2,60 m²,R 11 206
2 Bedroom House,Pritoria,Lotus Gardens,2,1,1,135 m²,R 6 000
2 Bedroom Apartment,Pritoria,Sinoville,2,2,2,58 m²,R 10 600
3 Bedroom House,Pritoria,Zambezi Manor Lifestyle Estate,3,2,2,102 m²,R 15 750
2 Bedroom Apartment,Pritoria,Hatfield,2,1,2,46 m²,R 8 995
3 Bedroom Townhouse,Pritoria,Annlin,3,2,2,46 m²,R 11 500
2 Bedroom House,Pritoria,Newlands,2,2,2,74 m²,R 12 250
2 Bedroom Apartment,Pritoria,Willow Park Manor,2,2,1,140 m²,R 10 980
2 Bedroom Apartment,Pritoria,Erasmus Park,2,1,1,60 m²,R 9 500
1 Bedroom Apartment,Pritoria,Mooikloof Manor,1,1,2,69 m²,R 8 500
2 Bedroom Apartment,Pritoria,Annlin,2,2,12,103 m²,R 11 206
5 Bedroom House,Pritoria,Waterkloof,5,2,4,88 m²,R 85 000
3 Bedroom House,Pritoria,Montana,3,2,2,106 m²,R 13 800
3 Bedroom Townhouse,Pritoria,Olympus AH,3,2.5,1,,R 19 000
3 Bedroom Apartment,Pritoria,Arcadia,3,1,1,,R 7 500
1 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,1,1,2,,R 13 000
2 Bedroom Apartment,Pritoria,Blyde Riverwalk Estate,2,2,2,,R 13 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2.5,2,,R 14 000
2 Bedroom Apartment,Pritoria,Menlo Park,2,2,,,R 14 400
2 Bedroom Apartment,Pritoria,Brooklyn,2,2,,,R 20 000
3 Bedroom Townhouse,Pritoria,Lynnwood Manor,3,2,2,104 m²,R 16 000
2 Bedroom Apartment,Pritoria,Six Fountains Residential Estate,2,2,4,92 m²,R 15 000
